,iso3,year,sector_GMatrix,g_primaryagr,g_otherprim,g_energy,g_procfoods,g_bevtobacco,g_textiles,g_clothing,g_leather,g_lumber,g_paperpub,g_chemicals,g_nonmetmin,g_metals,g_fabmetals,g_transpequip,g_machinery,g_othermanuf,g_water,g_construction,g_distribution,g_transport,g_communcation,g_finance,g_insurance,g_obsict,g_oconsumer,g_oservices,sector_HMatrix,h_primaryagr,h_otherprim,h_energy,h_procfoods,h_bevtobacco,h_textiles,h_clothing,h_leather,h_lumber,h_paperpub,h_chemicals,h_nonmetmin,h_metals,h_fabmetals,h_transpequip,h_machinery,h_othermanuf,h_water,h_construction,h_distribution,h_transport,h_communcation,h_finance,h_insurance,h_obsict,h_oconsumer,h_oservices,DomVAshare,GXshare,DXshare,VXsharefwd,VXsharebwd
864,kor,1997,primaryagr,8400.38,19.0981,9.4696,6941.95,368.608,70.7586,41.9767,62.4331,1.1521,20.4058,139.008,3.9503,19.0893,18.1334,105.111,200.555,25.7732,1.226,280.804,159.984,66.4644,14.1969,9.4117,59.0974,39.8185,1043.47,487.584,primaryagr,176.856,2.422,4.3554,565.402,19.5427,66.0528,12.1956,39.5575,0.9984,8.2025,94.6074,3.3016,19.3286,8.6512,52.7806,137.755,9.1246,0.0165,0.1922,9.3012,40.6985,2.4979,0.7235,5.32,32.4516,51.2513,8.639,0.642053,0.001555,0.003102,0.013103,0.002127
865,kor,1997,otherprim,150.005,2179.54,7.0809,570.503,27.8103,19.8521,9.1803,7.3756,3.1433,6.3398,56.9674,109.937,59.5119,16.7831,79.3043,231.726,29.9082,0.7218,1402.48,31.6727,15.2634,2.6148,1.5759,8.5661,9.6913,135.921,184.064,otherprim,3.1581,276.404,3.2567,46.4659,1.4744,18.5319,2.6672,4.6732,2.7237,2.5484,38.7713,91.8827,60.258,8.0069,39.822,159.166,10.5885,0.0097,0.9598,1.8414,9.3463,0.4601,0.1211,0.7711,7.8983,6.676,3.2612,0.653371,0.002559,0.005194,0.007656,0.003414
866,kor,1997,energy,157.93,61.7006,2937.65,373.152,63.4867,487.643,167.297,69.009,6.5624,129.053,1012.31,37.1247,343.715,139.425,620.322,1004.07,142.409,41.936,1105.29,457.806,812.125,47.7296,25.1611,94.8394,171.987,250.328,1418.71,energy,3.325,7.8247,1351.12,30.3922,3.3659,455.212,48.6055,43.7239,5.6865,51.8751,688.964,31.0281,348.024,66.5173,311.49,689.669,50.4176,0.566,0.7564,26.6162,497.293,8.3979,1.9341,8.5375,140.168,12.2952,25.1367,0.301732,0.024542,0.023004,0.046874,0.016284
867,kor,1997,procfoods,277.586,7.552,3.4279,4384.76,95.8928,23.5832,15.1251,22.3597,0.4266,7.894,43.8609,1.4903,7.0984,6.7343,37.9097,73.1529,7.875,0.4502,82.8868,59.6741,24.643,5.3394,3.5256,22.3214,13.8892,396.496,155.713,procfoods,5.8441,0.9577,1.5766,357.126,5.084,22.0148,4.3943,14.1671,0.3696,3.1731,29.8512,1.2455,7.1874,3.2128,19.036,50.2467,2.788,0.0061,0.0567,3.4694,15.0898,0.9395,0.271,2.0094,11.3196,19.4745,2.7589,0.147566,0.012696,0.00582,0.005573,0.013076
868,kor,1997,bevtobacco,5.4563,8.1466,2.7936,20.18,1006.23,16.6107,11.2212,4.0173,0.3492,5.8234,16.7259,1.3197,6.0273,5.6111,29.5258,59.2351,5.7268,0.3662,67.4872,51.5707,20.5884,4.6083,3.0349,19.3593,11.5833,345.395,124.46,bevtobacco,0.1149,1.0331,1.2849,1.6436,53.3478,15.506,3.2601,2.5454,0.3026,2.3408,11.3835,1.103,6.1029,2.677,14.8261,40.687,2.0275,0.0049,0.0462,2.9982,12.607,0.8108,0.2333,1.7427,9.4403,16.9646,2.2052,0.281601,0.001098,0.000961,0.001979,0.00128
869,kor,1997,textiles,4.3934,12.2069,1.4694,12.4405,2.0846,4913.67,802.128,61.7537,0.1686,4.9305,37.096,1.4283,3.1113,3.5596,96.6777,37.8358,48.3251,0.1634,56.5935,19.5839,13.407,1.3363,1.0158,4.2202,4.1428,55.9622,64.3942,textiles,0.0925,1.5481,0.6758,1.0132,0.1105,4586.88,233.045,39.127,0.1461,1.9819,25.2471,1.1937,3.1503,1.6982,48.5459,25.9884,17.1087,0.0022,0.0387,1.1386,8.2096,0.2351,0.0781,0.3799,3.3763,2.7487,1.1409,0.26635,0.086408,0.071494,0.04779,0.083463
870,kor,1997,clothing,2.5616,0.8894,1.2523,7.9095,1.3483,5.8631,3001.48,2.5702,0.1423,1.9604,7.7916,0.5218,3.2379,3.483,19.3891,34.3715,4.0917,0.2069,38.0284,16.8064,10.2263,1.2671,1.7002,4.6335,3.2831,35.1445,52.8007,clothing,0.0539,0.1128,0.576,0.6442,0.0715,5.4732,872.031,1.6284,0.1233,0.788,5.3029,0.4361,3.2785,1.6617,9.7361,23.6088,1.4486,0.0028,0.026,0.9771,6.2619,0.2229,0.1307,0.4171,2.6756,1.7262,0.9355,0.31241,0.017134,0.016629,0.008979,0.017415
871,kor,1997,leather,0.6323,0.6637,0.2228,1.585,0.4632,1.4804,89.5799,1339.07,0.025,0.6767,1.5919,0.1208,0.6477,0.8425,4.5757,14.4911,27.3938,0.0265,13.1945,4.2771,1.9299,0.4311,0.2119,1.0117,0.9177,15.1295,11.2506,leather,0.0133,0.0842,0.1025,0.1291,0.0246,1.382,26.026,848.43,0.0217,0.272,1.0834,0.1009,0.6559,0.4019,2.2977,9.9535,9.6984,0.0004,0.009,0.2487,1.1817,0.0759,0.0163,0.0911,0.7479,0.7431,0.1993,0.285387,0.01577,0.013981,0.008632,0.015483
872,kor,1997,lumber,9.8756,15.3491,2.7644,17.7387,3.1085,4.6995,3.668,2.0236,129.813,2.9836,8.4602,2.2178,5.5302,12.2108,58.917,49.4976,95.7813,0.1217,515.935,16.5244,8.1053,0.6257,0.3633,1.4939,3.3716,16.3617,62.3429,lumber,0.2079,1.9465,1.2714,1.4448,0.1648,4.387,1.0657,1.2822,112.486,1.1993,5.7579,1.8536,5.5995,5.8256,29.5847,33.9985,33.9099,0.0016,0.3531,0.9607,4.9631,0.1101,0.0279,0.1345,2.7478,0.8036,1.1046,0.268584,0.002127,0.001774,0.002418,0.001787
873,kor,1997,paperpub,58.5001,14.2497,15.5135,318.471,57.3905,140.302,113.164,62.1638,2.8611,2281.38,224.538,14.1549,29.2414,37.1259,205.312,636.325,108.619,1.8025,630.911,451.085,141.01,23.7692,32.2417,75.6831,213.815,325.69,725.619,paperpub,1.2316,1.8071,7.1351,25.9386,3.0427,130.971,32.8781,39.3869,2.4792,917.039,152.818,11.8304,29.608,17.7122,103.095,437.074,38.4548,0.0243,0.4318,26.2254,86.3457,4.1821,2.4784,6.813,174.257,15.9967,12.8565,0.344644,0.011538,0.012353,0.021791,0.013306
874,kor,1997,chemicals,285.293,40.0133,54.7365,539.661,90.0948,1192.12,296.478,163.699,8.4265,113.324,7461.76,17.9177,61.3211,85.9194,1167.96,1343.6,234.527,8.8,1205.79,184.06,280.256,12.0146,7.4215,28.2603,56.2238,303.14,1420.29,chemicals,6.0064,5.0744,25.175,43.9539,4.7766,1112.83,86.1368,103.719,7.3018,45.5523,5078.38,14.9752,62.09,40.9908,586.479,922.882,83.0306,0.1188,0.8252,10.701,171.61,2.1139,0.5705,2.544,45.8217,14.8892,25.1646,0.270263,0.08561,0.071874,0.081199,0.080292
875,kor,1997,nonmetmin,10.1908,3.7064,16.1322,34.0117,49.1885,24.1274,11.2346,7.1547,0.6017,11.098,87.7071,494.151,80.6849,28.3645,200.609,707.01,37.873,1.9167,3836.2,41.6688,21.8995,3.0515,1.5204,5.7748,14.8072,59.5268,367.704,nonmetmin,0.2145,0.47,7.4197,2.7702,2.6078,22.5228,3.264,4.5332,0.5214,4.461,59.6924,413.002,81.6966,13.5322,100.734,485.626,13.4084,0.0259,2.6253,2.4226,13.4098,0.5369,0.1169,0.5198,12.0677,2.9237,6.515,0.358608,0.006023,0.00671,0.012009,0.007152
876,kor,1997,metals,14.6843,6.9119,17.7484,47.0095,29.2013,28.5806,13.3153,9.6382,0.5732,8.8845,69.7885,6.846,3230.93,597.468,1176.66,1912.04,77.1381,5.2485,2422.17,38.4528,52.3327,3.9057,1.7593,5.4253,14.3168,41.7794,327.073,metals,0.3092,0.8766,8.163,3.8288,1.5482,26.6798,3.8686,6.1067,0.4967,3.5713,47.4972,5.7218,3271.44,285.043,590.852,1313.33,27.3096,0.0708,1.6576,2.2356,32.0452,0.6872,0.1352,0.4884,11.668,2.0521,5.7951,0.202611,0.06177,0.038878,0.053983,0.048978
877,kor,1997,fabmetals,14.2604,5.1351,19.0821,88.7825,83.5856,32.7689,14.5896,19.225,0.8981,7.0176,77.8502,5.3425,20.3499,1956.64,303.02,546.856,51.0112,0.6831,1766.44,43.4687,34.1444,2.7637,1.6006,5.94,10.6839,71.6568,237.449,fabmetals,0.3002,0.6512,8.7765,7.2311,4.4315,30.5896,4.2388,12.1809,0.7782,2.8208,52.9839,4.4651,20.605,933.48,152.159,375.62,18.0597,0.0092,1.2089,2.5272,20.9078,0.4863,0.123,0.5347,8.7072,3.5195,4.2071,0.3134,0.016749,0.016306,0.015962,0.017399
878,kor,1997,transpequip,15.1567,20.1277,4.1361,37.3863,5.6536,14.9048,9.9534,4.5431,0.8721,8.4069,26.4957,5.784,10.3371,8.684,11696.3,109.481,8.0424,0.3516,139.687,45.2471,320.82,2.2417,2.4688,6.2813,13.074,19.6003,460.031,transpequip,0.3191,2.5525,1.9023,3.045,0.2997,13.9136,2.8918,2.8785,0.7557,3.3793,18.0326,4.8341,10.4667,4.143,5873.18,75.1998,2.8473,0.0047,0.0956,2.6306,196.45,0.3944,0.1898,0.5654,10.6551,0.9627,8.1508,0.242721,0.1109,0.083618,0.059591,0.1133
879,kor,1997,machinery,49.449,30.6675,40.6259,96.7317,18.4797,99.7616,56.2444,16.2243,1.7592,27.0277,144.618,10.8363,62.0833,75.8161,1594.47,28894.5,55.1453,4.9922,2197.18,171.346,141.499,33.355,9.3519,21.9292,66.3446,103.982,1036.47,machinery,1.0411,3.8892,18.6851,7.8785,0.9797,93.1269,16.3409,10.2797,1.5244,10.8642,98.4253,9.0567,62.8616,36.1707,800.647,19846.9,19.5233,0.0674,1.5036,9.9618,86.6447,5.8687,0.7189,1.9741,54.0701,5.1072,18.3642,0.279203,0.340052,0.294937,0.202646,0.321227
880,kor,1997,othermanuf,3.5894,1.783,2.141,10.3461,16.4964,12.4933,35.1485,12.2781,0.2019,2.8119,10.1415,0.5909,3.0594,9.7471,97.3693,40.4591,1942.65,0.1671,188.494,65.0366,14.5914,3.7985,1.7831,7.9985,13.391,84.1272,145.157,othermanuf,0.0756,0.2261,0.9847,0.8427,0.8746,11.6624,10.2118,7.7794,0.1749,1.1303,6.9022,0.4939,3.0978,4.6502,48.8932,27.7902,687.765,0.0023,0.129,3.7811,8.9348,0.6683,0.1371,0.72,10.9135,4.132,2.5719,0.32682,0.012839,0.013035,0.008074,0.013259
881,kor,1997,water,6.0012,2.3087,2.9195,27.2243,9.5551,33.5785,13.4713,4.5555,0.4945,5.0096,21.9351,1.3045,6.9041,5.2538,23.6521,58.6237,8.7511,300.125,53.835,29.9599,12.0349,1.6582,1.767,7.1763,9.9819,20.2917,77.8855,water,0.1263,0.2928,1.3428,2.2173,0.5066,31.3454,3.9139,2.8864,0.4285,2.0137,14.9287,1.0902,6.9907,2.5065,11.8767,40.267,3.0982,4.0504,0.0368,1.7418,7.3694,0.2918,0.1358,0.646,8.1351,0.9967,1.38,0.512832,4.3e-05,6.9e-05,0.001438,5.3e-05
882,kor,1997,construction,15.5124,6.9225,97.7934,37.717,6.9728,29.7326,18.2017,6.2644,0.4873,9.311,58.8052,2.5403,23.1233,11.7197,73.9361,179.964,11.0413,3.5736,29177.5,103.573,53.0204,9.3049,4.6857,13.6838,75.3301,33.6228,2108.44,construction,0.3266,0.8779,44.9782,3.0719,0.3697,27.7552,5.2882,3.9691,0.4222,3.7427,40.0221,2.1231,23.4132,5.5913,37.1264,123.613,3.909,0.0482,19.9678,6.0216,32.4662,1.6372,0.3602,1.2318,61.3932,1.6514,37.3572,0.385353,0.000317,0.000379,0.004667,0.000397
883,kor,1997,distribution,149.02,44.5957,53.9779,830.654,110.298,367.057,366.955,213.685,13.1185,171.548,530.972,27.3558,200.428,176.169,1176.12,2561.45,202.513,5.7039,2265.04,26708.1,384.194,35.7941,22.2703,108.564,105.73,1635.13,1461.86,distribution,3.1374,5.6555,24.8261,67.6544,5.8477,342.646,106.613,135.39,11.3675,68.9565,361.373,22.8635,202.941,84.0472,590.578,1759.39,71.6966,0.077,1.5501,1552.77,235.256,6.2979,1.7119,9.773,86.1692,80.3116,25.9012,0.657908,0.014288,0.029202,0.056001,0.020498
884,kor,1997,transport,80.1942,45.0845,55.5549,303.803,48.3048,167.73,117.807,46.9808,11.6364,63.6632,254.566,32.5033,109.961,76.2013,404.176,958.757,100.786,4.3377,1298.88,545.889,15180.7,27.144,34.6754,98.1017,84.9711,173.239,736.475,transport,1.6884,5.7175,25.5514,24.7439,2.561,156.575,34.2269,29.7669,10.0832,25.5905,173.254,27.1656,111.339,36.3544,202.953,658.544,35.6816,0.0585,0.8889,31.7372,9295.71,4.7759,2.6655,8.8312,69.2505,8.5089,13.0489,0.489248,0.108867,0.165459,0.105009,0.116907
